"","Hugo_Symbol","Entrez_Gene_Id"
"95","ACY1",95
"91703","ACY3",91703
"97","ACYP1",97
"98","ACYP2",98
"132612","ADAD1",132612
"161931","ADAD2",161931
"161823","ADAL",161823
"102","ADAM10",102
"4185","ADAM11",4185
"8038","ADAM12",8038
"8751","ADAM15",8751
"6868","ADAM17",6868
"8749","ADAM18",8749
"8728","ADAM19",8728
"8748","ADAM20",8748
"145241","ADAM21P1",145241
"8747","ADAM21",8747
"53616","ADAM22",53616
"8745","ADAM23",8745
"10863","ADAM28",10863
"11086","ADAM29",11086
"2515","ADAM2",2515
"11085","ADAM30",11085
"203102","ADAM32",203102
"80332","ADAM33",80332
"1587","ADAM3A",1587
"255926","ADAM5P",255926
"8755","ADAM6",8755
"8756","ADAM7",8756
"101","ADAM8",101
"8754","ADAM9",8754
"27299","ADAMDEC1",27299
"81794","ADAMTS10",81794
"81792","ADAMTS12",81792
"11093","ADAMTS13",11093
"140766","ADAMTS14",140766
"170689","ADAMTS15",170689
"170690","ADAMTS16",170690
"170691","ADAMTS17",170691
"170692","ADAMTS18",170692
"171019","ADAMTS19",171019
"9510","ADAMTS1",9510
"80070","ADAMTS20",80070
"9509","ADAMTS2",9509
"9508","ADAMTS3",9508
"9507","ADAMTS4",9507
"11096","ADAMTS5",11096
"11174","ADAMTS6",11174
"11173","ADAMTS7",11173
"11095","ADAMTS8",11095
"56999","ADAMTS9",56999
"92949","ADAMTSL1",92949
"9719","ADAMTSL2",9719
"57188","ADAMTSL3",57188
"54507","ADAMTSL4",54507
"339366","ADAMTSL5",339366
"11033","ADAP1",11033
"55803","ADAP2",55803
"104","ADARB1",104
"105","ADARB2",105
"103","ADAR",103
"23536","ADAT1",23536
"134637","ADAT2",134637
"113179","ADAT3",113179
"100","ADA",100
"57143","ADCK1",57143
"90956","ADCK2",90956
"79934","ADCK4",79934
"203054","ADCK5",203054
"55811","ADCY10",55811
"107","ADCY1",107
"108","ADCY2",108
"109","ADCY3",109
"196883","ADCY4",196883
"111","ADCY5",111
"112","ADCY6",112
"113","ADCY7",113
"114","ADCY8",114
"115","ADCY9",115
"117","ADCYAP1R1",117
"116","ADCYAP1",116
"113451","ADC",113451
"118","ADD1",118
"119","ADD2",119
"120","ADD3",120
"124","ADH1A",124
"125","ADH1B",125
"126","ADH1C",126
"127","ADH4",127
"128","ADH5",128
"130","ADH6",130
"131","ADH7",131
"137872","ADHFE1",137872
"55256","ADI1",55256
"149685","ADIG",149685
"9370","ADIPOQ",9370
"51094","ADIPOR1",51094
"79602","ADIPOR2",79602
"132","ADK",132
"79924","ADM2",79924
"133","ADM",133
"22850","ADNP2",22850
"23394","ADNP",23394
"134","ADORA1",134
"135","ADORA2A",135
"136","ADORA2B",136
"140","ADORA3",140
"84890","ADO",84890
"83440","ADPGK",83440
"113622","ADPRHL1",113622
"54936","ADPRHL2",54936
"141","ADPRH",141
"148","ADRA1A",148
"147","ADRA1B",147
"146","ADRA1D",146
"150","ADRA2A",150
"151","ADRA2B",151
"152","ADRA2C",152
"153","ADRB1",153
"154","ADRB2",154
"155","ADRB3",155
"156","ADRBK1",156
"157","ADRBK2",157
"11047","ADRM1",11047
"158","ADSL",158
"122622","ADSSL1",122622
"159","ADSS",159
"165","AEBP1",165
"121536","AEBP2",121536
"64782","AEN",64782
"166","AES",166
"134265","AFAP1L1",134265
"84632","AFAP1L2",84632
"60312","AFAP1",60312
"246182","AFARP1",246182
"4299","AFF1",4299
"2334","AFF2",2334
"3899","AFF3",3899
"27125","AFF4",27125
"172","AFG3L1",172
"10939","AFG3L2",10939
"125061","AFMID",125061
"173","AFM",173
"174","AFP",174
"54812","AFTPH",54812
"387763","AG2",387763
"119385","AGAP11",119385
"116987","AGAP1",116987
"116986","AGAP2",116986
"116988","AGAP3",116988
"119016","AGAP4",119016
"729092","AGAP5",729092
"414189","AGAP6",414189
"653268","AGAP7",653268
"728404","AGAP8",728404
"175","AGA",175
"123624","AGBL1",123624
"79841","AGBL2",79841
"340351","AGBL3",340351
"84871","AGBL4",84871
"60509","AGBL5",60509
"177","AGER",177
"3267","AGFG1",3267
"3268","AGFG2",3268
"55109","AGGF1",55109
"55750","AGK",55750
"178","AGL",178
"79814","AGMAT",79814
"10554","AGPAT1",10554
"10555","AGPAT2",10555
"56894","AGPAT3",56894
"56895","AGPAT4",56895
"55326","AGPAT5",55326
"137964","AGPAT6",137964
"84803","AGPAT9",84803
"123688","AGPHD1",123688
"8540","AGPS",8540
"10551","AGR2",10551
"155465","AGR3",155465
"375790","AGRN",375790
"181","AGRP",181
"23287","AGTPBP1",23287
"185","AGTR1",185
"186","AGTR2",186
"57085","AGTRAP",57085
"183","AGT",183
"64850","AGXT2L1",64850
"85007","AGXT2L2",85007
"64902","AGXT2",64902
"189","AGXT",189
"25909","AHCTF1",25909
"10768","AHCYL1",10768
"23382","AHCYL2",23382
"191","AHCY",191
"27245","AHDC1",27245
"54806","AHI1",54806
"113146","AHNAK2",113146
"79026","AHNAK",79026
"57491","AHRR",57491
"196","AHR",196
"10598","AHSA1",10598
"130872","AHSA2",130872
"197","AHSG",197
"51327","AHSP",51327
"57379","AICDA",57379
"64853","AIDA",64853
"83543","AIF1L",83543
"199","AIF1",199
"9131","AIFM1",9131
"84883","AIFM2",84883
"150209","AIFM3",150209
"51390","AIG1",51390
"55057","AIM1L",55057
"202","AIM1",202
"9447","AIM2",9447
"9255","AIMP1",9255
"7965","AIMP2",7965
"23746","AIPL1",23746
"9049","AIP",9049
"326","AIRE",326
"55966","AJAP1",55966
"203","AK1",203
"204","AK2",204
"205","AK3L1",205
"50808","AK3",50808
"26289","AK5",26289
"122481","AK7",122481
"11216","AKAP10",11216
"11215","AKAP11",11215
"9590","AKAP12",9590
"11214","AKAP13",11214
"158798","AKAP14",158798
"8165","AKAP1",8165
"11217","AKAP2",11217
"10566","AKAP3",10566
"8852","AKAP4",8852
"9495","AKAP5",9495
"9472","AKAP6",9472
"9465","AKAP7",9465
"26993","AKAP8L",26993
"10270","AKAP8",10270
"10142","AKAP9",10142
"221264","AKD1",221264
"79647","AKIRIN1",79647
"55122","AKIRIN2",55122
"254268","AKNAD1",254268
"80709","AKNA",80709
"10327","AKR1A1",10327
"57016","AKR1B10",57016
"441282","AKR1B15",441282
"231","AKR1B1",231
"1645","AKR1C1",1645
"1646","AKR1C2",1646
"8644","AKR1C3",8644
"1109","AKR1C4",1109
"340811","AKR1CL1",340811
"6718","AKR1D1",6718
"83592","AKR1E2",83592
"8574","AKR7A2",8574
"22977","AKR7A3",22977
"246181","AKR7L",246181
"84335","AKT1S1",84335
"207","AKT1",207
"208","AKT2",208
"10000","AKT3",10000
"64400","AKTIP",64400
"210","ALAD",210
"211","ALAS1",211
"212","ALAS2",212
"213","ALB",213
"214","ALCAM",214
"126133","ALDH16A1",126133
"5832","ALDH18A1",5832
"216","ALDH1A1",216
"8854","ALDH1A2",8854
"220","ALDH1A3",220
"219","ALDH1B1",219
"10840","ALDH1L1",10840
"160428","ALDH1L2",160428
"217","ALDH2",217
"218","ALDH3A1",218
"224","ALDH3A2",224
"221","ALDH3B1",221
"222","ALDH3B2",222
"8659","ALDH4A1",8659
"7915","ALDH5A1",7915
"4329","ALDH6A1",4329
"501","ALDH7A1",501
"64577","ALDH8A1",64577
"223","ALDH9A1",223
"226","ALDOA",226
"229","ALDOB",229
"230","ALDOC",230
"144245","ALG10B",144245
"84920","ALG10",84920
"440138","ALG11",440138
"79087","ALG12",79087
"79868","ALG13",79868
"199857","ALG14",199857
"644974","ALG1L2",644974
"200810","ALG1L",200810
"56052","ALG1",56052
"85365","ALG2",85365
"10195","ALG3",10195
"29880","ALG5",29880
"29929","ALG6",29929
"79053","ALG8",79053
"79796","ALG9",79796
"8846","ALKBH1",8846
"121642","ALKBH2",121642
"221120","ALKBH3",221120
"54784","ALKBH4",54784
"54890","ALKBH5",54890
"84964","ALKBH6",84964
"84266","ALKBH7",84266
"91801","ALKBH8",91801
"238","ALK",238
"55821","ALLC",55821
"200420","ALMS1P",200420
"7840","ALMS1",7840
"242","ALOX12B",242
"245","ALOX12P2",245
"239","ALOX12",239
"247","ALOX15B",247
"246","ALOX15",246
"241","ALOX5AP",241
"240","ALOX5",240
"59344","ALOXE3",59344
"248","ALPI",248
"80216","ALPK1",80216
"115701","ALPK2",115701
"57538","ALPK3",57538
"249","ALPL",249
"251","ALPPL2",251
"250","ALPP",250
"259173","ALS2CL",259173
"151254","ALS2CR11",151254
"130540","ALS2CR12",130540
"65062","ALS2CR4",65062
"79800","ALS2CR8",79800
"57679","ALS2",57679
"8092","ALX1",8092
"257","ALX3",257
"60529","ALX4",60529
"83650","AMAC1L2",83650
"643664","AMAC1L3",643664
"146861","AMAC1",146861
"23600","AMACR",23600
"258","AMBN",258
"259","AMBP",259
"55626","AMBRA1",55626
"262","AMD1",262
"144193","AMDHD1",144193
"51005","AMDHD2",51005
"265","AMELX",265
"266","AMELY",266
"267","AMFR",267
"269","AMHR2",269
"268","AMH",268
"120425","AMICA1",120425
"57463","AMIGO1",57463
"347902","AMIGO2",347902
"386724","AMIGO3",386724
"83607","AMMECR1L",83607
"9949","AMMECR1",9949
"196394","AMN1",196394
"81693","AMN",81693
"154810","AMOTL1",154810
"51421","AMOTL2",51421
"154796","AMOT",154796
"270","AMPD1",270
"271","AMPD2",271
"272","AMPD3",272
"273","AMPH",273
"401138","AMTN",401138
"275","AMT",275
"276","AMY1A",276
"279","AMY2A",279
"280","AMY2B",280
"155185","AMZ1",155185
"201283","AMZ2P1",201283
"51321","AMZ2",51321
"10393","ANAPC10",10393
"51529","ANAPC11",51529
"25847","ANAPC13",25847
"119504","ANAPC16",119504
"64682","ANAPC1",64682
"29882","ANAPC2",29882
"29945","ANAPC4",29945
"51433","ANAPC5",51433
"51434","ANAPC7",51434
"23357","ANGEL1",23357
"90806","ANGEL2",90806
"284","ANGPT1",284
"285","ANGPT2",285
"51378","ANGPT4",51378
"9068","ANGPTL1",9068
"23452","ANGPTL2",23452
"27329","ANGPTL3",27329
"51129","ANGPTL4",51129
"253935","ANGPTL5",253935
"83854","ANGPTL6",83854
"10218","ANGPTL7",10218
"283","ANG",283
"286","ANK1",286
"287","ANK2",287
"288","ANK3",288
"150709","ANKAR",150709
"348094","ANKDD1A",348094
"162282","ANKFN1",162282
"51479","ANKFY1",51479
"404734","ANKHD1-EIF4EBP3",404734
"54882","ANKHD1",54882
"56172","ANKH",56172
"54467","ANKIB1",54467
"255239","ANKK1",255239
"126549","ANKLE1",126549
"23141","ANKLE2",23141
"51281","ANKMY1",51281
"57037","ANKMY2",57037
"57763","ANKRA2",57763
"55608","ANKRD10",55608
"29123","ANKRD11",29123
"23253","ANKRD12",23253
"88455","ANKRD13A",88455
"124930","ANKRD13B",124930
"81573","ANKRD13C",81573
"338692","ANKRD13D",338692
"54522","ANKRD16",54522
"26057","ANKRD17",26057
"138649","ANKRD19",138649
"27063","ANKRD1",27063
"441425","ANKRD20A3",441425
"728747","ANKRD20A4",728747
"729171","ANKRD20B",729171
"118932","ANKRD22",118932
"200539","ANKRD23",200539
"170961","ANKRD24",170961
"124149","ANKRD26P1",124149
"22852","ANKRD26",22852
"84079","ANKRD27",84079
"23243","ANKRD28",23243
"147463","ANKRD29",147463
"26287","ANKRD2",26287
"91074","ANKRD30A",91074
"374860","ANKRD30B",374860
"256006","ANKRD31",256006
"84250","ANKRD32",84250
"341405","ANKRD33",341405
"284615","ANKRD34A",284615
"340120","ANKRD34B",340120
"390616","ANKRD34C",390616
"148741","ANKRD35",148741
"84832","ANKRD36BP1",84832
"57730","ANKRD36B",57730
"375248","ANKRD36",375248
"353322","ANKRD37",353322
"51239","ANKRD39",51239
"91369","ANKRD40",91369
"338699","ANKRD42",338699
"134548","ANKRD43",134548
"91526","ANKRD44",91526
"339416","ANKRD45",339416
"157567","ANKRD46",157567
"54851","ANKRD49",54851
"57182","ANKRD50",57182
"283373","ANKRD52",283373
"79998","ANKRD53",79998
"129138","ANKRD54",129138
"79722","ANKRD55",79722
"345079","ANKRD56",345079
"65124","ANKRD57",65124
"347454","ANKRD58",347454
"63926","ANKRD5",63926
"22881","ANKRD6",22881
"56311","ANKRD7",56311
"122416","ANKRD9",122416
"23294","ANKS1A",23294
"56899","ANKS1B",56899
"124401","ANKS3",124401
"257629","ANKS4B",257629
"203286","ANKS6",203286
"55139","ANKZF1",55139
"54443","ANLN",54443
"55129","ANO10",55129
"55107","ANO1",55107
"57101","ANO2",57101
"63982","ANO3",63982
"121601","ANO4",121601
"203859","ANO5",203859
"196527","ANO6",196527
"50636","ANO7",50636
"57719","ANO8",57719
"338440","ANO9",338440
"8125","ANP32A",8125
"10541","ANP32B",10541
"23520","ANP32C",23520
"23519","ANP32D",23519
"81611","ANP32E",81611
"290","ANPEP",290
"84168","ANTXR1",84168
"118429","ANTXR2",118429
"195977","ANTXRL",195977
"93550","ANUBL1",93550
"11199","ANXA10",11199
"311","ANXA11",311
"312","ANXA13",312
"301","ANXA1",301
"303","ANXA2P1",303
"304","ANXA2P2",304
"305","ANXA2P3",305
"302","ANXA2",302
"306","ANXA3",306
"307","ANXA4",307
"308","ANXA5",308
"309","ANXA6",309
"310","ANXA7",310
"728113","ANXA8L1",728113
"244","ANXA8L2",244
"653145","ANXA8",653145
"8416","ANXA9",8416
"313","AOAH",313
"314","AOC2",314
"8639","AOC3",8639
"316","AOX1",316
"344454","AOX2P",344454
"55435","AP1AR",55435
"162","AP1B1",162
"164","AP1G1",164
"8906","AP1G2",8906
"8907","AP1M1",8907
"10053","AP1M2",10053
"1174","AP1S1",1174
"8905","AP1S2",8905
"130340","AP1S3",130340
"160","AP2A1",160
"161","AP2A2",161
"163","AP2B1",163
"1173","AP2M1",1173
"1175","AP2S1",1175
"8546","AP3B1",8546
"8120","AP3B2",8120
"8943","AP3D1",8943
"26985","AP3M1",26985
"10947","AP3M2",10947
"1176","AP3S1",1176
"10239","AP3S2",10239
"10717","AP4B1",10717
"23431","AP4E1",23431
"9179","AP4M1",9179
"11154","AP4S1",11154
"317","APAF1",317
"320","APBA1",320
"321","APBA2",321
"9546","APBA3",9546
"54518","APBB1IP",54518
"322","APBB1",322
"323","APBB2",323
"10307","APBB3",10307
"10297","APC2",10297
"164284","APCDD1L",164284
"147495","APCDD1",147495
"325","APCS",325
"324","APC",324
"327","APEH",327
"328","APEX1",328
"27301","APEX2",27301
"51107","APH1A",51107
"83464","APH1B",83464
"8539","API5",8539
"51074","APIP",51074
"378708","APITD1",378708
"200558","APLF",200558
"187","APLNR",187
"8862","APLN",8862
"333","APLP1",333
"334","APLP2",334
"128240","APOA1BP",128240
"335","APOA1",335
"336","APOA2",336
"337","APOA4",337
"116519","APOA5",116519
"55911","APOB48R",55911
"339","APOBEC1",339
"10930","APOBEC2",10930
"200315","APOBEC3A",200315
"9582","APOBEC3B",9582
"27350","APOBEC3C",27350
"140564","APOBEC3D",140564
"200316","APOBEC3F",200316
"60489","APOBEC3G",60489
"164668","APOBEC3H",164668
"403314","APOBEC4",403314
"338","APOB",338
"342","APOC1P1",342
"341","APOC1",341
"344","APOC2",344
"345","APOC3",345
"346","APOC4",346
"347","APOD",347
"348","APOE",348
"319","APOF",319
"350","APOH",350
"8542","APOL1",8542
"23780","APOL2",23780
"80833","APOL3",80833
"80832","APOL4",80832
"80831","APOL5",80831
"80830","APOL6",80830
"81575","APOLD1",81575
"55937","APOM",55937
"139322","APOOL",139322
"79135","APOO",79135
"10513","APPBP2",10513
"26060","APPL1",26060
"55198","APPL2",55198
"351","APP",351
"353","APRT",353
"54840","APTX",54840
"89872","AQP10",89872
"282679","AQP11",282679
"375318","AQP12A",375318
"653437","AQP12B",653437
"358","AQP1",358
"359","AQP2",359
"360","AQP3",360
"361","AQP4",361
"362","AQP5",362
"363","AQP6",363
"375719","AQP7P1",375719
"441432","AQP7P3",441432
"364","AQP7",364
"343","AQP8",343
"366","AQP9",366
"206338","AQPEP",206338
"9716","AQR",9716
"369","ARAF",369
"116985","ARAP1",116985
"116984","ARAP2",116984
"64411","ARAP3",64411
"372","ARCN1",372
"23237","ARC",23237
"374","AREG",374
"375","ARF1",375
"377","ARF3",377
"378","ARF4",378
"381","ARF5",381
"382","ARF6",382
"55738","ARFGAP1",55738
"84364","ARFGAP2",84364
"26286","ARFGAP3",26286
"10565","ARFGEF1",10565
"10564","ARFGEF2",10564
"27236","ARFIP1",27236
"23647","ARFIP2",23647
"10139","ARFRP1",10139
"383","ARG1",383
"384","ARG2",384
"503640","ARGFXP2",503640
"503582","ARGFX",503582
"55082","ARGLU1",55082
"79658","ARHGAP10",79658
"9824","ARHGAP11A",9824
"89839","ARHGAP11B",89839
"94134","ARHGAP12",94134
"55843","ARHGAP15",55843
"55114","ARHGAP17",55114
"93663","ARHGAP18",93663
"84986","ARHGAP19",84986
"392","ARHGAP1",392
"57569","ARHGAP20",57569
"57584","ARHGAP21",57584
"58504","ARHGAP22",58504
"57636","ARHGAP23",57636
"83478","ARHGAP24",83478
"9938","ARHGAP25",9938
"23092","ARHGAP26",23092
"201176","ARHGAP27",201176
"79822","ARHGAP28",79822
"9411","ARHGAP29",9411
"257106","ARHGAP30",257106
"57514","ARHGAP31",57514
"9743","ARHGAP32",9743
"115703","ARHGAP33",115703
"158763","ARHGAP36",158763
"80728","ARHGAP39",80728
"143872","ARHGAP42",143872
"393","ARHGAP4",393
"394","ARHGAP5",394
"395","ARHGAP6",395
"23779","ARHGAP8",23779
"64333","ARHGAP9",64333
"396","ARHGDIA",396
"397","ARHGDIB",397
"398","ARHGDIG",398
"55160","ARHGEF10L",55160
"9639","ARHGEF10",9639
"9826","ARHGEF11",9826
"23365","ARHGEF12",23365
"22899","ARHGEF15",22899
"27237","ARHGEF16",27237
"9828","ARHGEF17",9828
"23370","ARHGEF18",23370
"128272","ARHGEF19",128272
"9138","ARHGEF1",9138
"9181","ARHGEF2",9181
"100271715","ARHGEF33",100271715
"445328","ARHGEF35",445328
"389337","ARHGEF37",389337
"54848","ARHGEF38",54848
"50650","ARHGEF3",50650
"50649","ARHGEF4",50649
"7984","ARHGEF5",7984
"9459","ARHGEF6",9459
"8874","ARHGEF7",8874
"23229","ARHGEF9",23229
"8289","ARID1A",8289
"57492","ARID1B",57492
"196528","ARID2",196528
"1820","ARID3A",1820
"10620","ARID3B",10620
"138715","ARID3C",138715
"5926","ARID4A",5926
"51742","ARID4B",51742
"10865","ARID5A",10865
"84159","ARID5B",84159
"25820","ARIH1",25820
"10425","ARIH2",10425
"285598","ARL10",285598
"115761","ARL11",115761
"392509","ARL13A",392509
"200894","ARL13B",200894
"80117","ARL14",80117
"54622","ARL15",54622
"339231","ARL16",339231
"51326","ARL17A",51326
"641522","ARL17B",641522
"400","ARL1",400
"23568","ARL2BP",23568
"402","ARL2",402
"403","ARL3",403
"10124","ARL4A",10124
"10123","ARL4C",10123
"379","ARL4D",379
"26225","ARL5A",26225
"221079","ARL5B",221079
"390790","ARL5C",390790
"23204","ARL6IP1",23204
"51329","ARL6IP4",51329
"10550","ARL6IP5",10550
"151188","ARL6IP6",151188
"84100","ARL6",84100
"127829","ARL8A",127829
"55207","ARL8B",55207
"132946","ARL9",132946
"83787","ARMC10",83787
"55156","ARMC1",55156
"84071","ARMC2",84071
"219681","ARMC3",219681
"55130","ARMC4",55130
"79798","ARMC5",79798
"93436","ARMC6",93436
"79637","ARMC7",79637
"25852","ARMC8",25852
"80210","ARMC9",80210
"51309","ARMCX1",51309
"9823","ARMCX2",9823
"51566","ARMCX3",51566
"64860","ARMCX5",64860
"54470","ARMCX6",54470
"387715","ARMS2",387715
"9915","ARNT2",9915
"56938","ARNTL2",56938
"406","ARNTL",406
"405","ARNT",405
"10552","ARPC1A",10552
"10095","ARPC1B",10095
"10109","ARPC2",10109
"10094","ARPC3",10094
"10093","ARPC4",10093
"81873","ARPC5L",81873
"10092","ARPC5",10092
"84517","ARPM1",84517
"10776","ARPP19",10776
"10777","ARPP21",10777
"407","ARR3",407
"408","ARRB1",408
"409","ARRB2",409
"92714","ARRDC1",92714
"27106","ARRDC2",27106
"57561","ARRDC3",57561
"91947","ARRDC4",91947
"645432","ARRDC5",645432
"410","ARSA",410
"411","ARSB",411
"414","ARSD",414
"415","ARSE",415
"416","ARSF",416
"22901","ARSG",22901
"347527","ARSH",347527
"340075","ARSI",340075
"79642","ARSJ",79642
"153642","ARSK",153642
"417","ART1",417
"419","ART3",419
"420","ART4",420
"116969","ART5",116969
"9048","ARTN",9048
"64801","ARV1",64801
"421","ARVCF",421
"170302","ARX",170302
"367","AR",367
"57412","AS3MT",57412
"427","ASAH1",427
"653308","ASAH2B",653308
"56624","ASAH2",56624
"79827","ASAM",79827
"29065","ASAP1IT1",29065
"50807","ASAP1",50807
"8853","ASAP2",8853
"55616","ASAP3",55616
"136371","ASB10",136371
"140456","ASB11",140456
"142689","ASB12",142689
"79754","ASB13",79754
"142686","ASB14",142686
"142685","ASB15",142685
"92591","ASB16",92591
"127247","ASB17",127247
"401036","ASB18",401036
"51665","ASB1",51665
"51676","ASB2",51676
"51130","ASB3",51130
"51666","ASB4",51666
"140458","ASB5",140458
"140459","ASB6",140459
"140460","ASB7",140460
"140461","ASB8",140461
"140462","ASB9",140462
"51008","ASCC1",51008
"84164","ASCC2",84164
"10973","ASCC3",10973
"429","ASCL1",429
"430","ASCL2",430
"56676","ASCL3",56676
